"SECTOR","STATE","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Industrial Processes - NEC","OR","PM10 Primary (Filt + Cond)","CAP","289.80807","TON"
"Commercial Cooking","CO","Volatile Organic Compounds","CAP","289.6771644872","TON"
"Mobile - Aircraft","VA","PM10 Primary (Filt + Cond)","CAP","289.6763087733","TON"
"Mobile - Non-Road Equipment - Gasoline","NE","PM10 Primary (Filt + Cond)","CAP","289.4458621534231810210435696579","TON"
"Industrial Processes - NEC","WA","PM2.5 Primary (Filt + Cond)","CAP","289.4244753","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","UT","Volatile Organic Compounds","CAP","289.38447822829","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","WY","Ammonia","CAP","289.079823113","TON"
"Commercial Cooking","SD","PM10 Primary (Filt + Cond)","CAP","289.04957677","TON"
"Fires - Agricultural Field Burning","AR","Sulfur Dioxide","CAP","289.037020903","TON"
"Fuel Comb - Residential - Oil","RI","Carbon Monoxide","CAP","288.8250996","TON"
"Mobile - Locomotives","MI","Volatile Organic Compounds","CAP","288.726977","TON"
"Solvent - Degreasing","AK","Volatile Organic Compounds","CAP","288.5935795","TON"
"Mobile - Commercial Marine Vessels","MO","PM2.5 Primary (Filt + Cond)","CAP","288.5740772","TON"
"Mobile - Aircraft","AK","PM10 Primary (Filt + Cond)","CAP","288.5643274063","TON"
"Solvent - Industrial Surface Coating & Solvent Use","IN","PM2.5 Primary (Filt + Cond)","CAP","288.55457961","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","CO","Nitrogen Oxides","CAP","288.53816645","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MT","PM10 Primary (Filt + Cond)","CAP","288.123542","TON"
"Fuel Comb - Electric Generation - Natural Gas","PA","Volatile Organic Compounds","CAP","287.9321","TON"
"Solvent - Industrial Surface Coating & Solvent Use","KS","PM10 Primary (Filt + Cond)","CAP","287.7873848","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","KS","Nitrogen Oxides","CAP","287.6842388","TON"
"Industrial Processes - Oil & Gas Production","AR","Sulfur Dioxide","CAP","287.576312186954752","TON"
"Industrial Processes - NEC","SD","PM2.5 Primary (Filt + Cond)","CAP","287.463088","TON"
"Industrial Processes - Chemical Manuf","IN","PM10 Primary (Filt + Cond)","CAP","287.41388614","TON"
"Mobile - Non-Road Equipment - Other","ME","Nitrogen Oxides","CAP","287.341731141878","TON"
"Fuel Comb - Comm/Institutional - Oil","CT","Carbon Monoxide","CAP","287.077420896","TON"
"Waste Disposal","CT","Sulfur Dioxide","CAP","286.958706025","TON"
"Agriculture - Crops & Livestock Dust","NH","PM2.5 Primary (Filt + Cond)","CAP","286.94573","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","DE","Sulfur Dioxide","CAP","286.9023858","TON"
"Agriculture - Crops & Livestock Dust","CT","PM2.5 Primary (Filt + Cond)","CAP","286.86859","TON"
"Mobile - Non-Road Equipment - Diesel","DE","Volatile Organic Compounds","CAP","286.7469846688","TON"
"Fires - Prescribed Fires","PA","Nitrogen Oxides","CAP","286.342929","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NH","PM2.5 Primary (Filt + Cond)","CAP","286.0881035","TON"
"Industrial Processes - Petroleum Refineries","MT","PM2.5 Primary (Filt + Cond)","CAP","286.0462251","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","UT","PM10 Primary (Filt + Cond)","CAP","285.9537861044","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","PM10 Primary (Filt + Cond)","CAP","285.878405373","TON"
"Waste Disposal","HI","Nitrogen Oxides","CAP","285.44550202","TON"
"Fuel Comb - Residential - Oil","OR","Sulfur Dioxide","CAP","285.4092186","TON"
"Industrial Processes - Cement Manuf","WY","PM10 Primary (Filt + Cond)","CAP","285.33","TON"
"Mobile - Aircraft","IL","PM10 Primary (Filt + Cond)","CAP","285.3206713901","TON"
"Fuel Comb - Residential - Wood","VA","Ammonia","CAP","285.2855253107","TON"
"Mobile - Non-Road Equipment - Diesel","HI","Volatile Organic Compounds","CAP","285.2432916602000000341510181479","TON"
"Fires - Wildfires","NJ","Sulfur Dioxide","CAP","285.195124","TON"
"Industrial Processes - Oil & Gas Production","MT","Sulfur Dioxide","CAP","285.18450020479379","TON"
"Industrial Processes - Petroleum Refineries","IL","Ammonia","CAP","284.906453","TON"
"Fuel Comb - Residential - Natural Gas","DC","Carbon Monoxide","CAP","284.84","TON"
"Industrial Processes - Pulp & Paper","OH","PM10 Primary (Filt + Cond)","CAP","284.390818","TON"
"Fuel Comb - Residential - Natural Gas","SD","Carbon Monoxide","CAP","284.26004429","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","ME","Nitrogen Oxides","CAP","283.88","TON"
"Mobile - Commercial Marine Vessels","NY","PM2.5 Primary (Filt + Cond)","CAP","283.78483820935","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","MA","Nitrogen Oxides","CAP","283.608","TON"
"Fuel Comb - Residential - Natural Gas","MS","Ammonia","CAP","283.5800083","TON"
"Waste Disposal","SD","Nitrogen Oxides","CAP","283.56662778","TON"
"Fires - Wildfires","PA","Ammonia","CAP","283.350501","TON"
"Fuel Comb - Residential - Wood","IA","Ammonia","CAP","282.71864526","TON"
"Industrial Processes - Non-ferrous Metals","TX","Volatile Organic Compounds","CAP","282.6129","TON"
"Fuel Comb - Residential - Natural Gas","WV","Ammonia","CAP","282.5699337","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","RI","Nitrogen Oxides","CAP","282.38903863","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","CO","Sulfur Dioxide","CAP","281.66049765","TON"
"Bulk Gasoline Terminals","OR","Volatile Organic Compounds","CAP","281.5","TON"
"Solvent - Graphic Arts","AK","Volatile Organic Compounds","CAP","281.46315","TON"
"Fuel Comb - Electric Generation - Coal","IL","Ammonia","CAP","281.363","TON"
"Solvent - Industrial Surface Coating & Solvent Use","IL","Carbon Monoxide","CAP","281.152642","TON"
"Miscellaneous Non-Industrial NEC","MN","PM2.5 Primary (Filt + Cond)","CAP","281.072386844","TON"
"Industrial Processes - Pulp & Paper","ID","PM2.5 Primary (Filt + Cond)","CAP","281.0420392376","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NE","Nitrogen Oxides","CAP","280.997183","TON"
"Fuel Comb - Electric Generation - Biomass","VT","Nitrogen Oxides","CAP","280.84","TON"
"Mobile - Aircraft","GA","PM10 Primary (Filt + Cond)","CAP","280.7772565025","TON"
"Fuel Comb - Comm/Institutional - Other","IL","Carbon Monoxide","CAP","280.69398679","TON"
"Miscellaneous Non-Industrial NEC","WI","PM2.5 Primary (Filt + Cond)","CAP","280.68509734","TON"
"Industrial Processes - Petroleum Refineries","CA","Ammonia","CAP","280.53556820951856","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","ND","Ammonia","CAP","280.432834801","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","ND","Volatile Organic Compounds","CAP","280.3649251316","TON"
"Mobile - Commercial Marine Vessels","MS","Sulfur Dioxide","CAP","280.23150873537","TON"
"Fuel Comb - Residential - Other","IN","Carbon Monoxide","CAP","280.018212","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","VA","Volatile Organic Compounds","CAP","279.94496693","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","UT","PM2.5 Primary (Filt + Cond)","CAP","279.9418697706","TON"
"Waste Disposal","MA","Ammonia","CAP","279.729233","TON"
"Fuel Comb - Comm/Institutional - Other","ME","Carbon Monoxide","CAP","279.72756542","TON"
"Fuel Comb - Comm/Institutional - Biomass","NM","Carbon Monoxide","CAP","279.0218409","TON"
"Fuel Comb - Comm/Institutional - Biomass","KY","Nitrogen Oxides","CAP","278.92796","TON"
"Fuel Comb - Comm/Institutional - Biomass","TX","PM10 Primary (Filt + Cond)","CAP","278.7871","TON"
"Industrial Processes - Ferrous Metals","IA","PM2.5 Primary (Filt + Cond)","CAP","278.61522","TON"
"Miscellaneous Non-Industrial NEC","CO","PM10 Primary (Filt + Cond)","CAP","278.387306983","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","NH","PM2.5 Primary (Filt + Cond)","CAP","278.343589854","TON"
"Dust - Paved Road Dust","AK","PM2.5 Primary (Filt + Cond)","CAP","278.115127","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MN","PM2.5 Primary (Filt + Cond)","CAP","278.11106331687598","TON"
"Waste Disposal","NE","Sulfur Dioxide","CAP","277.846412589","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","WV","PM10 Primary (Filt + Cond)","CAP","277.80184326","TON"
"Miscellaneous Non-Industrial NEC","HI","Volatile Organic Compounds","CAP","277.61568221646","TON"
"Mobile - Commercial Marine Vessels","PA","Carbon Monoxide","CAP","277.37904801236","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MD","Nitrogen Oxides","CAP","276.864769","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","GA","PM10 Primary (Filt + Cond)","CAP","276.809922906","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","MT","Nitrogen Oxides","CAP","276.464878314","TON"
"Fuel Comb - Residential - Wood","MO","Sulfur Dioxide","CAP","276.3426175118","TON"
"Waste Disposal","NJ","PM10 Primary (Filt + Cond)","CAP","276.3196461","TON"
"Industrial Processes - NEC","AK","PM2.5 Primary (Filt + Cond)","CAP","276.2114937","TON"
"Mobile - Non-Road Equipment - Diesel","ME","PM10 Primary (Filt + Cond)","CAP","275.846516494307","TON"
"Industrial Processes - Chemical Manuf","MA","Volatile Organic Compounds","CAP","275.6558","TON"
"Mobile - Commercial Marine Vessels","AL","PM10 Primary (Filt + Cond)","CAP","275.05811734896","TON"
"Industrial Processes - Petroleum Refineries","AR","Volatile Organic Compounds","CAP","275.021708","TON"
"Waste Disposal","SC","Ammonia","CAP","274.82047","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","IA","PM10 Primary (Filt + Cond)","CAP","274.64299","TON"
"Commercial Cooking","TN","Volatile Organic Compounds","CAP","274.5439829178","TON"
"Industrial Processes - Storage and Transfer","TN","PM2.5 Primary (Filt + Cond)","CAP","274.51232474483","TON"
"Miscellaneous Non-Industrial NEC","OH","Nitrogen Oxides","CAP","274.388094","TON"
"Industrial Processes - Cement Manuf","NY","Ammonia","CAP","273.9615","TON"
"Mobile - Non-Road Equipment - Gasoline","NM","PM10 Primary (Filt + Cond)","CAP","273.8440520918260002439944200647","TON"
"Fuel Comb - Electric Generation - Natural Gas","TN","Carbon Monoxide","CAP","273.5844457","TON"
"Industrial Processes - Ferrous Metals","IA","Sulfur Dioxide","CAP","273.347","TON"
"Fuel Comb - Residential - Natural Gas","AK","Nitrogen Oxides","CAP","273.241299","TON"
"Fuel Comb - Comm/Institutional - Oil","OH","Carbon Monoxide","CAP","273.097923702","TON"
"Fuel Comb - Electric Generation - Biomass","WI","Sulfur Dioxide","CAP","273.073775","TON"
"Mobile - Commercial Marine Vessels","IL","Volatile Organic Compounds","CAP","273.036124637","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NH","Carbon Monoxide","CAP","272.933104","TON"
"Waste Disposal","MI","Ammonia","CAP","272.84714","TON"
"Mobile - Non-Road Equipment - Diesel","TX","Sulfur Dioxide","CAP","272.706495159238000095123674473","TON"
"Fuel Comb - Comm/Institutional - Biomass","AL","Carbon Monoxide","CAP","272.399919","TON"
"Fuel Comb - Residential - Wood","WA","Sulfur Dioxide","CAP","272.28696625","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","DE","Sulfur Dioxide","CAP","272.1526939593","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","PA","PM10 Primary (Filt + Cond)","CAP","272.0138035665","TON"
"Mobile - Non-Road Equipment - Other","ID","Nitrogen Oxides","CAP","271.9576575819350000109029339","TON"
"Fuel Comb - Electric Generation - Natural Gas","IA","PM10 Primary (Filt + Cond)","CAP","271.93099512","TON"
"Industrial Processes - Cement Manuf","IA","Volatile Organic Compounds","CAP","271.864","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","Volatile Organic Compounds","CAP","271.827371","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","OH","Volatile Organic Compounds","CAP","271.6354799755","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","CA","Volatile Organic Compounds","CAP","271.5662523721688","TON"
"Mobile - Aircraft","MN","Sulfur Dioxide","CAP","271.4308574944","TON"
"Fuel Comb - Electric Generation - Natural Gas","NE","Carbon Monoxide","CAP","271.4201011","TON"
"Industrial Processes - Chemical Manuf","KY","Sulfur Dioxide","CAP","271.30740149","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NC","PM2.5 Primary (Filt + Cond)","CAP","271.29827","TON"
"Industrial Processes - Chemical Manuf","PA","Ammonia","CAP","271.2769","TON"
"Industrial Processes - Petroleum Refineries","LA","Ammonia","CAP","271.2329782455","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MN","Sulfur Dioxide","CAP","271.144822221709","TON"
"Industrial Processes - Mining","MS","PM2.5 Primary (Filt + Cond)","CAP","270.9157","TON"
"Mobile - Non-Road Equipment - Other","RI","Nitrogen Oxides","CAP","270.8133950062100000000520608","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","Sulfur Dioxide","CAP","270.7547134","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","WV","Volatile Organic Compounds","CAP","270.6534516198","TON"
"Mobile - Aircraft","WV","Volatile Organic Compounds","CAP","270.5711266846","TON"
"Fires - Agricultural Field Burning","CO","Carbon Monoxide","CAP","270.5642","TON"
"Fuel Comb - Electric Generation - Coal","OK","Ammonia","CAP","270.5383","TON"
"Industrial Processes - Chemical Manuf","ID","PM2.5 Primary (Filt + Cond)","CAP","270.4890992317","TON"
"Fuel Comb - Electric Generation - Natural Gas","AL","Ammonia","CAP","270.465571","TON"
"Mobile - Aircraft","MA","Sulfur Dioxide","CAP","270.0464319314","TON"
"Fuel Comb - Residential - Wood","NE","Nitrogen Oxides","CAP","269.998590066","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","IA","PM2.5 Primary (Filt + Cond)","CAP","269.767436","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","IN","PM10 Primary (Filt + Cond)","CAP","269.6659332","TON"
"Fuel Comb - Comm/Institutional - Other","VT","Nitrogen Oxides","CAP","269.61737","TON"
"Fuel Comb - Residential - Wood","TX","Ammonia","CAP","269.3937759549","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","LA","Carbon Monoxide","CAP","268.9320134","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","PA","Ammonia","CAP","268.83207751","TON"
"Fuel Comb - Electric Generation - Biomass","WI","PM10 Primary (Filt + Cond)","CAP","268.620597","TON"
"Fuel Comb - Electric Generation - Coal","AZ","Ammonia","CAP","268.61859","TON"
"Fuel Comb - Electric Generation - Other","VA","PM10 Primary (Filt + Cond)","CAP","268.523584","TON"
"Fuel Comb - Comm/Institutional - Biomass","WV","Nitrogen Oxides","CAP","268.50995","TON"
"Industrial Processes - Non-ferrous Metals","MS","Carbon Monoxide","CAP","268.29","TON"
"Commercial Cooking","SD","PM2.5 Primary (Filt + Cond)","CAP","267.94935593","TON"
"Industrial Processes - Pulp & Paper","MI","Ammonia","CAP","267.8925","TON"
"Mobile - Non-Road Equipment - Diesel","ME","PM2.5 Primary (Filt + Cond)","CAP","267.567638069545","TON"
"Fuel Comb - Residential - Wood","NC","Ammonia","CAP","267.543117753","TON"
"Industrial Processes - Chemical Manuf","MN","Nitrogen Oxides","CAP","267.4211189","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","WA","PM2.5 Primary (Filt + Cond)","CAP","267.39167122","TON"
"Fuel Comb - Comm/Institutional - Oil","CO","Nitrogen Oxides","CAP","266.869868","TON"
"Industrial Processes - Storage and Transfer","NV","Carbon Monoxide","CAP","266.83669396","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","OR","Volatile Organic Compounds","CAP","266.7398688","TON"
"Industrial Processes - NEC","NC","Ammonia","CAP","266.4109124355","TON"
"Mobile - Non-Road Equipment - Gasoline","NE","PM2.5 Primary (Filt + Cond)","CAP","266.2924841927518409393606971943","TON"
"Fuel Comb - Residential - Wood","ME","Ammonia","CAP","266.18822782","TON"
"Mobile - Commercial Marine Vessels","CT","Carbon Monoxide","CAP","266.1440531907","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","PM2.5 Primary (Filt + Cond)","CAP","266.118974342","TON"
"Mobile - Aircraft","AK","PM2.5 Primary (Filt + Cond)","CAP","265.9787474424","TON"
"Fuel Comb - Comm/Institutional - Other","AK","Carbon Monoxide","CAP","265.9334549","TON"
"Mobile - Commercial Marine Vessels","PR","Volatile Organic Compounds","CAP","265.9023333275","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","SD","Nitrogen Oxides","CAP","265.7522750255","TON"
"Industrial Processes - Storage and Transfer","MD","PM10 Primary (Filt + Cond)","CAP","265.558701","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CA","Sulfur Dioxide","CAP","265.539694714","TON"
"Mobile - Locomotives","MA","Sulfur Dioxide","CAP","265.51710309","TON"
"Fuel Comb - Residential - Natural Gas","WY","Carbon Monoxide","CAP","265.379966","TON"
"Miscellaneous Non-Industrial NEC","AZ","PM2.5 Primary (Filt + Cond)","CAP","265.34615068","TON"
"Industrial Processes - Cement Manuf","LA","PM10 Primary (Filt + Cond)","CAP","265.128463","TON"
"Mobile - Commercial Marine Vessels","AL","PM2.5 Primary (Filt + Cond)","CAP","264.99954713516","TON"
"Commercial Cooking","NM","Carbon Monoxide","CAP","264.46101848","TON"
"Mobile - Aircraft","VA","PM2.5 Primary (Filt + Cond)","CAP","264.0668823818","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","OR","Sulfur Dioxide","CAP","263.9203518637","TON"
"Waste Disposal","NH","Sulfur Dioxide","CAP","263.4763815","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","WV","Carbon Monoxide","CAP","263.458499707","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","MO","Carbon Monoxide","CAP","263.3709","TON"
"Dust - Unpaved Road Dust","VI","PM2.5 Primary (Filt + Cond)","CAP","263.3629","TON"
"Fuel Comb - Electric Generation - Other","VA","PM2.5 Primary (Filt + Cond)","CAP","263.270384","TON"
"Mobile - Aircraft","OK","PM10 Primary (Filt + Cond)","CAP","263.1317531116","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","SD","Carbon Monoxide","CAP","263","TON"
"Mobile - Commercial Marine Vessels","SC","PM10 Primary (Filt + Cond)","CAP","262.92015837876","TON"
"Industrial Processes - Mining","AZ","Nitrogen Oxides","CAP","262.878058","TON"
"Fires - Prescribed Fires","MD","Ammonia","CAP","262.3742767","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","WA","Volatile Organic Compounds","CAP","262.18573796","TON"
"Fuel Comb - Residential - Wood","MD","Nitrogen Oxides","CAP","262.14032582","TON"
"Fuel Comb - Comm/Institutional - Other","OH","Nitrogen Oxides","CAP","262.035138","TON"
"Industrial Processes - NEC","WY","Volatile Organic Compounds","CAP","261.84666","TON"
"Industrial Processes - Cement Manuf","GA","PM10 Primary (Filt + Cond)","CAP","261.8297","TON"
"Dust - Paved Road Dust","HI","PM2.5 Primary (Filt + Cond)","CAP","261.67","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NY","PM10 Primary (Filt + Cond)","CAP","261.3191297","TON"
"Fires - Wildfires","NC","Sulfur Dioxide","CAP","261.262988","TON"
"Fuel Comb - Electric Generation - Other","MN","Nitrogen Oxides","CAP","261.057463","TON"
"Industrial Processes - Petroleum Refineries","KY","PM10 Primary (Filt + Cond)","CAP","260.9464638296","TON"
"Mobile - Non-Road Equipment - Diesel","NH","PM10 Primary (Filt + Cond)","CAP","260.93356818498","TON"
"Miscellaneous Non-Industrial NEC","AL","PM10 Primary (Filt + Cond)","CAP","260.58720338","TON"
"Industrial Processes - Cement Manuf","MI","PM2.5 Primary (Filt + Cond)","CAP","260.25395828","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NH","PM10 Primary (Filt + Cond)","CAP","260.2387297","TON"
"Industrial Processes - Cement Manuf","KS","PM10 Primary (Filt + Cond)","CAP","260.19502109","TON"
"Mobile - Non-Road Equipment - Other","AL","Volatile Organic Compounds","CAP","260.1345386488200000029776525","TON"
"Fuel Comb - Comm/Institutional - Biomass","CT","Carbon Monoxide","CAP","260.100245","TON"
"Mobile - Non-Road Equipment - Other","SC","Volatile Organic Compounds","CAP","260.061810300700000001240318751","TON"
"Fires - Wildfires","OH","Ammonia","CAP","259.875622","TON"
"Bulk Gasoline Terminals","MD","Volatile Organic Compounds","CAP","259.7210805","TON"
"Commercial Cooking","OR","PM2.5 Primary (Filt + Cond)","CAP","259.56204987","TON"
"Industrial Processes - Chemical Manuf","NJ","Volatile Organic Compounds","CAP","259.4261","TON"
"Industrial Processes - Non-ferrous Metals","CA","Carbon Monoxide","CAP","259.402664036","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","ND","PM2.5 Primary (Filt + Cond)","CAP","259","TON"
"Solvent - Graphic Arts","WY","Volatile Organic Compounds","CAP","258.7642","TON"
"Mobile - Aircraft","WY","Nitrogen Oxides","CAP","258.279868075","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","TN","Ammonia","CAP","258.185203995","TON"
"Fires - Agricultural Field Burning","SD","Volatile Organic Compounds","CAP","258.145972","TON"
"Commercial Cooking","HI","Carbon Monoxide","CAP","257.931195","TON"
"Waste Disposal","UT","Nitrogen Oxides","CAP","257.88911613","TON"
"Fuel Comb - Electric Generation - Other","NY","Sulfur Dioxide","CAP","257.631681","TON"
"Industrial Processes - Petroleum Refineries","DE","Volatile Organic Compounds","CAP","257.58760565","TON"
"Industrial Processes - Oil & Gas Production","MS","Nitrogen Oxides","CAP","257.493657","TON"
"Agriculture - Livestock Waste","WV","Volatile Organic Compounds","CAP","257.313","TON"
"Industrial Processes - Storage and Transfer","NC","Carbon Monoxide","CAP","257.217","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MO","Carbon Monoxide","CAP","257.1666651635","TON"
"Fuel Comb - Comm/Institutional - Other","CO","Carbon Monoxide","CAP","257.07425","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NH","Nitrogen Oxides","CAP","256.7458582","TON"
"Fuel Comb - Comm/Institutional - Biomass","MD","Nitrogen Oxides","CAP","256.630073","TON"
"Fuel Comb - Residential - Other","VA","Carbon Monoxide","CAP","256.5570211","TON"
"Industrial Processes - Ferrous Metals","SC","PM2.5 Primary (Filt + Cond)","CAP","256.3578707685835","TON"
"Industrial Processes - Oil & Gas Production","MO","Nitrogen Oxides","CAP","256.298162321","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","PA","PM2.5 Primary (Filt + Cond)","CAP","256.0081490615","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","SD","Carbon Monoxide","CAP","255.9227","TON"
"Commercial Cooking","IN","Volatile Organic Compounds","CAP","255.911211362","TON"
"Industrial Processes - Pulp & Paper","MD","Volatile Organic Compounds","CAP","255.59521","TON"
"Industrial Processes - Storage and Transfer","OR","PM2.5 Primary (Filt + Cond)","CAP","255.593443636","TON"
"Fires - Agricultural Field Burning","KY","PM2.5 Primary (Filt + Cond)","CAP","255.589288","TON"
"Fuel Comb - Residential - Wood","VT","Sulfur Dioxide","CAP","255.5835179","TON"
"Mobile - Aircraft","PR","Volatile Organic Compounds","CAP","255.536004608","TON"
"Fuel Comb - Electric Generation - Coal","SD","PM2.5 Primary (Filt + Cond)","CAP","255.4","TON"
"Fuel Comb - Electric Generation - Coal","SD","PM10 Primary (Filt + Cond)","CAP","255.4","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","AR","Sulfur Dioxide","CAP","255.3710863717","TON"
"Fuel Comb - Residential - Oil","VA","Carbon Monoxide","CAP","255.23821735","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NJ","Carbon Monoxide","CAP","255.149635997","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MD","Volatile Organic Compounds","CAP","255.1082603","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MS","Sulfur Dioxide","CAP","255","TON"
"Mobile - Non-Road Equipment - Gasoline","MT","PM10 Primary (Filt + Cond)","CAP","254.92335597058577032788476851764","TON"
"Mobile - Aircraft","KY","Sulfur Dioxide","CAP","254.9142003079","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MO","Ammonia","CAP","254.820346749","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","WY","PM2.5 Primary (Filt + Cond)","CAP","254.817647583","TON"
"Fires - Agricultural Field Burning","NE","Ammonia","CAP","254.769556","TON"
"Fuel Comb - Electric Generation - Coal","CA","Sulfur Dioxide","CAP","254.5594383066","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","CT","Nitrogen Oxides","CAP","254.54025","TON"
"Fuel Comb - Comm/Institutional - Other","WA","Nitrogen Oxides","CAP","254.50049585","TON"
"Waste Disposal","GA","Ammonia","CAP","254.41825328","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","WA","Carbon Monoxide","CAP","254.39999235","TON"
"Commercial Cooking","MO","Volatile Organic Compounds","CAP","254.1669409392","TON"
"Mobile - Locomotives","OR","PM10 Primary (Filt + Cond)","CAP","254.1511606","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MN","Ammonia","CAP","254.0120613457","TON"
"Industrial Processes - Chemical Manuf","MN","Carbon Monoxide","CAP","254.012039","TON"
"Industrial Processes - Mining","AK","Nitrogen Oxides","CAP","254","TON"
"Industrial Processes - Oil & Gas Production","VA","PM10 Primary (Filt + Cond)","CAP","253.46094103","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","AR","Nitrogen Oxides","CAP","253.427115215","TON"
"Industrial Processes - Oil & Gas Production","VA","PM2.5 Primary (Filt + Cond)","CAP","253.31545642","TON"
"Industrial Processes - Petroleum Refineries","KY","PM2.5 Primary (Filt + Cond)","CAP","253.1116365496","TON"
"Mobile - Non-Road Equipment - Diesel","NH","PM2.5 Primary (Filt + Cond)","CAP","253.10173216993","TON"
"Gas Stations","DC","Volatile Organic Compounds","CAP","253.0428547","TON"
"Mobile - Aircraft","GA","PM2.5 Primary (Filt + Cond)","CAP","252.9990687015","TON"
"Mobile - Aircraft","WA","PM2.5 Primary (Filt + Cond)","CAP","252.9377735329","TON"
"Industrial Processes - Chemical Manuf","IN","PM2.5 Primary (Filt + Cond)","CAP","252.71467072","TON"
"Industrial Processes - Chemical Manuf","WV","PM2.5 Primary (Filt + Cond)","CAP","252.33221230626","TON"
"Mobile - Aircraft","RI","Nitrogen Oxides","CAP","252.3009725643","TON"
"Fuel Comb - Electric Generation - Other","VA","Volatile Organic Compounds","CAP","252.23545073","TON"
"Fuel Comb - Comm/Institutional - Other","MD","Nitrogen Oxides","CAP","252.1955795","TON"
"Fuel Comb - Electric Generation - Coal","NM","PM2.5 Primary (Filt + Cond)","CAP","252","TON"
"Fuel Comb - Electric Generation - Coal","NM","PM10 Primary (Filt + Cond)","CAP","252","TON"
"Mobile - Non-Road Equipment - Gasoline","NM","PM2.5 Primary (Filt + Cond)","CAP","251.9399867710403002244748610044","TON"
"Fires - Agricultural Field Burning","OK","Sulfur Dioxide","CAP","251.914474","TON"
